"Order","PID","MS SubClass","MS Zoning","Lot Frontage","Lot Area","Street","Alley","Lot Shape","Land Contour","Utilities","Lot Config","Land Slope","Neighborhood","Condition 1","Condition 2","Bldg Type","House Style","Overall Qual","Overall Cond","Year Built","Year Remod/Add","Roof Style","Roof Matl","Exterior 1st","Exterior 2nd","Mas Vnr Type","Mas Vnr Area","Exter Qual","Exter Cond","Foundation","Bsmt Qual","Bsmt Cond","Bsmt Exposure","BsmtFin Type 1","BsmtFin SF 1","BsmtFin Type 2","BsmtFin SF 2","Bsmt Unf SF","Total Bsmt SF","Heating","Heating QC","Central Air","Electrical","1st Flr SF","2nd Flr SF","Low Qual Fin SF","Gr Liv Area","Bsmt Full Bath","Bsmt Half Bath","Full Bath","Half Bath","Bedroom AbvGr","Kitchen AbvGr","Kitchen Qual","TotRms AbvGrd","Functional","Fireplaces","Fireplace Qu","Garage Type","Garage Yr Blt","Garage Finish","Garage Cars","Garage Area","Garage Qual","Garage Cond","Paved Drive","Wood Deck SF","Open Porch SF","Enclosed Porch","3Ssn Porch","Screen Porch","Pool Area","Pool QC","Fence","Misc Feature","Misc Val","Mo Sold","Yr Sold","Sale Type","Sale Condition","SalePrice","__index_level_0__"
2832,908188140,160,"RM",24,2522,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Twnhs","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Stone",50,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,970,970,"GasA","Ex","Y","SBrkr",970,739,0,1709,0,0,2,0,3,1,"Gd",7,"Maj1",0,\N,"Detchd",2004,"Unf",2,380,"TA","TA","Y",0,40,0,0,0,0,\N,\N,\N,0,4,2006,"WD ","Normal",137500,2831
2736,905426150,80,"RL",\N,19690,"Pave",\N,"IR1","Lvl","AllPub","CulDSac","Gtl","Edwards","Norm","Norm","1Fam","SLvl",6,7,1966,1966,"Flat","Tar&Grv","Plywood","Plywood",\N,0,"Gd","Gd","CBlock","Gd","TA","Av","Unf",0,"Unf",0,697,697,"GasA","TA","Y","SBrkr",1575,626,0,2201,0,0,2,0,4,1,"Gd",8,"Typ",1,"Gd","Attchd",1966,"Unf",2,432,"Gd","Gd","Y",586,236,0,0,0,738,"Gd","GdPrv",\N,0,8,2006,"WD ","Alloca",274970,2735
2135,907200130,20,"RL",97,11800,"Pave",\N,"IR1","Bnk","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1974,1974,"Gable","CompShg","HdBoard","HdBoard",\N,0,"TA","TA","CBlock","Gd","TA","Av","BLQ",663,"Unf",0,201,864,"GasA","TA","Y","SBrkr",894,0,0,894,0,0,1,0,3,1,"TA",5,"Typ",0,\N,"Attchd",1974,"Unf",2,440,"TA","TA","Y",0,0,0,0,0,0,\N,\N,\N,0,8,2007,"WD ","Family",131000,2134
2424,528228415,120,"RM",\N,3072,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2004,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",18,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1375,1375,"GasA","Ex","Y","SBrkr",1414,0,0,1414,0,0,2,0,2,1,"Gd",6,"Typ",1,"TA","Attchd",2004,"Fin",2,398,"TA","TA","Y",144,20,0,0,0,0,\N,\N,\N,0,5,2006,"WD ","Normal",178740,2423
1967,535457020,20,"RL",80,8000,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1960,1960,"Hip","CompShg","BrkFace","BrkFace",\N,0,"TA","TA","CBlock","TA","TA","No","BLQ",1098,"Rec",154,125,1377,"GasA","TA","Y","SBrkr",1377,0,0,1377,1,0,1,0,3,1,"TA",6,"Typ",2,"TA","Attchd",1965,"Unf",1,351,"TA","TA","Y",0,0,0,0,0,0,\N,"MnPrv",\N,0,11,2007,"WD ","Normal",156500,1966
583,534128010,60,"RL",\N,10382,"Pave",\N,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ",859,"BLQ",32,216,1107,"GasA","Ex","Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",235,204,228,0,0,0,\N,\N,"Shed",350,11,2009,"WD ","Normal",200000,582
2224,909428180,20,"RL",\N,25485,"Pave",\N,"IR1","Lvl","AllPub","CulDSac","Gtl","Crawfor","Norm","Norm","1Fam","1Story",6,4,1960,1960,"Gable","CompShg","Wd Sdng","MetalSd","BrkFace",423,"TA","Fa","CBlock","TA","Gd","Mn","LwQ",540,"Rec",1020,0,1560,"GasA","TA","Y","SBrkr",1560,0,0,1560,0,0,1,1,3,1,"TA",6,"Typ",3,"TA","Attchd",1960,"RFn",2,580,"TA","TA","Y",0,75,584,0,0,0,\N,\N,\N,0,5,2007,"WD ","Normal",201000,2223
78,531452020,120,"RL",55,7892,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1979,1979,"Gable","CompShg","Plywood","Plywood",\N,0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,918,918,"GasA","TA","Y","SBrkr",918,0,0,918,0,0,2,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1979,"Unf",1,264,"TA","TA","Y",28,0,0,0,0,0,\N,\N,\N,0,4,2010,"WD ","Normal",99500,77
1205,534276190,20,"RL",74,7785,"Pave",\N,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1956,1956,"Gable","CompShg","HdBoard","HdBoard",\N,0,"TA","TA","Slab",\N,\N,\N,\N,0,\N,0,0,0,"GasA","TA","Y","SBrkr",1014,0,0,1014,0,0,1,0,2,1,"TA",6,"Typ",0,\N,"Attchd",1956,"RFn",1,267,"TA","TA","Y",0,0,40,0,200,0,\N,"GdWo",\N,0,3,2008,"WD ","Normal",98000,1204
1729,528218020,60,"RL",65,10237,"Pave",\N,"Reg","Lvl","AllPub","Inside","Gtl","Gilbert","RRAn","Norm","1Fam","2Story",6,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd",\N,0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,768,768,"GasA","Ex","Y","SBrkr",768,768,0,1536,0,0,2,1,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,400,"TA","TA","Y",100,38,0,0,0,0,\N,\N,\N,0,6,2007,"WD ","Normal",176000,1728
